company_name,request_url,request_company_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
Searchfuse Technology Corporation,https://e27.co/startup/searchfuse-technology-corporati,searchfuse.com,Philippines,,,,1,,,,"Searchfuse Marketing Management, the brains behind Searchfuse, has offices in Dubai, London, and Manila. We provide the full plate of digital marketing services as an extension to start-ups & companie",
OrangeApps,https://e27.co/startup/orangeapp,orangeapps.ph,Philippines,"Education,Enterprise Solution",,,0,https://www.facebook.com/orangeappsph/,,,OrangeApps school management system is a web and mobile platform that allows schools to manage it's entire operation using an end to end solution,"OrangeApps school management system is a web and mobile platform that allows schools to manage it's entire operation using an end to end solution from online enrollment,tuition fee monitoring,class scheduling, online learning and a whole lot more. Schools will now be able to save time, money and focus more on providing better education."
FireVisor Systems,https://e27.co/startup/firevisor-system,firevisor.com,Singapore,,,,1,,,,"We understand complex data generated inside our client's manufacturing lines and use that to save 40% of sales revenue. Our AI solution predicts defects before they happen, reduce failures and scrap.",FireVisor Is Creating Self-Aware Factories
Quifers,https://e27.co/startup/quifer,quifers.com,India,"Logistics/Supply Chain,Transportation,Travel",,,0,"http://www.twitter.com/Quiferstweet,https://www.facebook.com/pages/Quifers/348594055351913,https://www.linkedin.com/company/9438797",,,A mini truck rental service providing low cost & hassle free goods transport.,A mini truck rental service providing low cost & hassle free goods transport.
Cloud Clipping Path,https://e27.co/startup/cloud-clipping-path,cloudclippingpath.com,United States of America,,May 2012,,1,"http://www.twitter.com/Cloud_Clipping,https://www.facebook.com/cloudclippingpath,https://www.linkedin.com/company/cloud-clipping-path",,,"Cloud Clipping path is a professional photo editing service provider. We provide any type of photo editings like photo retouching, Shadow effects, Neck Join, Image Optimization for e-Commerce business","Cloud Clipping path is a professional photo editing service provider. We provide any type of photo editings like photo retouching, Shadow effects, Neck Join, Image Optimization for e-Commerce Online store and Real estate business."
WhatsNew Asia,https://e27.co/startup/whatsnew-asia,whatsnew.asia,Thailand,Social Enterprise,,,0,https://www.linkedin.com/company/3116138,,,"WhatsNew, backed by Ardent Capital, is Asia's Only Online Lifestyle Destination for All Things Women.","WhatsNew, backed by Ardent Capital, is Asia's Only Online Lifestyle Destination for All Things Women. An eCommerce platform providing 5 verticals that completes a Woman's life ranging from cosmetics to motherhood, allowing consumers to shop all in one location."
Travelshopa,https://e27.co/startup/travelshopa,travelshopa.com,Singapore,"E-commerce,Media,Social Enterprise,Travel",,,0,"http://www.twitter.com/Travelshopa,http://www.facebook.com/travelshopa,https://www.linkedin.com/company/travelshopa",,,"Travelshopa is the only online community dedicated to local shopping across fashion, gifts and homewares.","Travelshopa is the only online community dedicated to local shopping across fashion, gifts and homewares."
Tradelab Software Private Limited,https://e27.co/startup/tradelab-software-private-limited,tradelab.in,India,"Finance,Software as a Service,Agency & Consulting",July 2012,,1,"http://www.twitter.com/Tradelab_in,https://www.facebook.com/tradelabsoft,https://www.linkedin.com/company/3503249?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3503249%2Cidx%3A2-1-2%2CtarId%3A1451374713308%2Ctas%3ATradelab%20Software",,,Tradelab Software Private Limited is a start-up in capital market domain with the vision of driving finance through technology.,"Tradelab was conceptualized in July, 2012 at Kolkata by IIT Kharagpur alumni Sandeep and Biplab and very soon the idea was shared with Sanjit, Satish, Dilip & Rakesh. Six multi-faceted brains laid the foundation of Tradelab. The team size rapidly grew to 12 after taking 6 more enthusiasts on board, each supporting the other like the pillars of a house. When they talk about work culture, it’s a very open and flattened hierarchy, the entire team toils round the clock to prove their mettle and provide stock market brokers with highly advanced software and tools. Tradelab also provides consultancy services to brokers in developing features into their existing software and to make it more user-friendly. Tradelab has more than a dozen clients across the country."
FOMO Pay,https://e27.co/startup/fomo-pay,fomopay.com,Singapore,,,,1,,,,"Singapore’s leading alternative payment platform, FOMO Pay enables merchants to accept payments from different wallets like WeChat Pay, NETSPay, Apple Pay, mVisa etc. ",
Cerebrex,https://e27.co/startup/cerebrex,cerebrexinc.com,Japan,"Consumer,Hardware,Manufacturing",,,0,,,,"Headquartered in Osaka, Japan, and founded in 2012, CerebrEX Corporation is a venture-backed semiconductor start-up in the business of developing proprietary","Headquartered in Osaka, Japan, and founded in 2012, CerebrEX Corporation is a venture-backed semiconductor start-up in the business of developing proprietary display technologies for the flat panel display market. The company directly addresses the challenges posed by conventional design, small pixels and high resolution. The company has an additional office in Tokyo, Japan."
StaffCircle Ltd,https://e27.co/startup/staffcircle-ltd,staffcircle.com,United Kingdom,,,,1,,,,"StaffCircle provides a work platform which improves internal communication and feedback and provides easy access to training, ideas, tasks and company directory.",
5staressays,https://e27.co/startup/5staressay,5staressays.com,United States of America,Education,,,1,,,,We are a team of highly professional academic writers having expertise in producing documents ranging from high school to doctoral levels.,"If you require your essay, article or thesis to be written, no matter how difficult it is, we will do it ensuring zero plagiarism and unique content. Our quality work has earned the trust of more than 2000 customers and it is just a beginning."
Wateroam,https://e27.co/startup/wateroam,wateroam.com,Singapore,"Energy,Manufacturing,Social Enterprise",2014,,1,"https://www.facebook.com/wateroamsg,https://www.linkedin.com/company/wateroam",,,"WateROAM is a water innovation social enterprise that aims to develop highly affordable, portable & durable solutions for the benefit of mankind. ","WateROAM was founded in Singapore in 2014 as a water innovation social enterprise.It aims to develop highly affordable, portable & durable solutions for the benefit of mankind. They believe in simple design for maximum social impact, so that every human can have equal access to clean drinking water."
Buildmatic,https://e27.co/startup/buildmatic,buildmatic.in,India,,January 2016,,1,"http://www.twitter.com/buildmaticindia,http://www.facebook.com/buildmatic,https://www.linkedin.com/company/buildmatic",,,Buildmatic seeks to solve the pain areas in the Indian construction industry through an online product and services marketplace model. Visit us @ www.buildmatic.in  or drop us a mail to get in touch.,
National Tiles-Springwood,https://e27.co/startup/national-tiles-springwood,nationaltiles.com.au,Australia,,,,1,,,,"National Tiles was established in 1979 by founder Frank Walker. Now under the guidance of Frank’s son and CEO Nick Walker, the company today is a market leader in tile and stone flooring. ",
DECOR8.ID,https://e27.co/startup/decor8-id,decor8.id,Indonesia,"Consumer,Design ,E-commerce",December 2017,,1,https://www.linkedin.com/company/ptmma/,,,"DECOR8.ID helps you put the things you love on your walls. We combine the personalized service of a frame shop with an online experience to make custom framing easy, affordable and available 24/7.","DECOR8.ID helps you put the things you love on your walls. We combine the personalized service of a frame shop with a guided online experience to make timeless custom framing easy, affordable and available from home. We also offer comprehensive trade services to help artists and designers expand their businesses and spread the joy of art."
Site_Galleria,https://e27.co/startup/site-galleria-1,sitegalleria.com,China,"Design ,E-commerce,Internet of Things,Mobile",June 2014,,0,"http://www.twitter.com/sitegalleria,https://www.facebook.com/sitegalleria,https://www.linkedin.com/company/site-galleria",,,Site Galleria PHP developers have built many effective web applications by fulfilling the most complex business requirement of the clients. Our team of experienced PHP experts and developers analyses,Site Galleria PHP developers have built many effective web applications by fulfilling the most complex business requirement of the clients. Our team of experienced PHP experts and developers analyses your business needs and design the website structure which results in high reliability and quality. PHP is a most widely used website development tool in order to develop dynamic and complex web pages. It is a general-purpose programming language and there are many benefits as it supports multiple types of a web application that include a cross platform compatibility.
DKSH,https://e27.co/startup/dksh,dksh.com,Switzerland,"Logistics/Supply Chain,Agency & Consulting,Advertising",,,0,"http://www.twitter.com/dkshgroup,https://www.facebook.com/dkshgroup/,https://www.linkedin.com/company/11481?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A11481%2Cidx%3A2-1-4%2CtarId%3A1449626920353%2Ctas%3Adksh",,,DKSH is the leading Market Expansion Services Group with a focus on Asia. They help companies who are looking for a reliable outsourcing partner to grow their business in new or existing markets.,DKSH is the leading Market Expansion Services Group with a focus on Asia. They help companies who are looking for a reliable outsourcing partner to grow their business in new or existing markets.
The Curious Kid Education Company,https://e27.co/startup/the-curious-kid-education-company,curiouskidvn.org,Vietnam,,June 2017,,1,"https://www.facebook.com/curiouskidvn/,https://www.linkedin.com/company/the-curious-kid-education-company/",,,"Empowerment. Respect. Choice.Our next generation education initiative enables learners to have choice over what they study, whilst practicing key 21st century skills through an extracurricular program","Curious Kid is a next generation science and arts education initiative that embraces every child’s uniqueness, creativity and self directed curiosity. We have developed an interdisciplinary program that gives learners a choice from 45 different merits. Each merit represents a different topic of study, and each merit has a 6 level structure to ensure learners attain 21st century key skills that are essential to better their future."
Indglobal Private Limited,https://e27.co/startup/indglobal-private-limited,indglobal.in,United Arab Emirates,"Design ,E-commerce,Information & Communications Technology,Mobile,Productivity & CRM,Software as a Service",,,1,"http://www.twitter.com/Indglobal,https://www.facebook.com/indglobal/,https://in.linkedin.com/company/indglobal-consultancy-solutions",,,Indglobal is an award-winning web design and development company in Dubai offering premium web solutions.,"Indglobal Digital is a Premium IT company in Dubai and UAE offering complete web solutions with a commitment to surpass customer expectations by providing excellent and timely delivery of premium web solutions. With a decade of expertise, Indglobal has helped hundreds of organization from start-ups to large enterprises providing high-quality web solutions. We craft wonderful digital experiences that drive your business and provide a trackable ROI for our clients. Our in-house team of experts leverages cutting-edge technologies and proven tactics to create a winning formula for businesses in Dubai."
Blissbox Pte Ltd,https://e27.co/startup/blissbox-pte-ltd,WWW.BLISSBOX.ASIA,Singapore,,July 2016,,1,"https://www.facebook.com/blissboxasia/,https://www.linkedin.com/company/13201219/",,,Blissbox reinvents the gifting industry by providing amazing giftboxes. Gift experiences instead of physical goods and let your friend remember you forever!,"Playing with a curated selection of universes, Blissbox is able to propose amazing gift-boxes where the receiver is entitled to choose one experience out of all those inside each box."
Nexus Financial,https://e27.co/startup/nexus-financial,nexus-financial.com,Burma,,,,1,,,,Nexus Financial is a full-service financial advisor for investors that want to grow their holdings through wise investment strategies. We chart the horizon for fresh opportunities to extract the great,
Accountsportal.co,https://e27.co/startup/accountsportalc,accountsportal.co,United States of America,"Information & Communications Technology,Finance,Software as a Service",March 2015,,1,"http://www.twitter.com/accounts_portal,https://www.facebook.com/accountsportalco/",,,"Accountsportal.co is a reliable bookkeeping organization for all Sage, QuickBooks and Xero related services, headquartered in Los Angeles, California and offers outstanding support.","Accountsportal.co is a software accounting consulting company providing its services in USA. It has achieved the paramount of success by endorsing its subscribers and customers with authentic and wholesome information on resolutions and error resolutions. It is a company which provides proper guidance by trained technicians who are proficient enough to handle all technical and functional aspects of QuickBooks, Sage and other accounting software. We are available round the clock to provide all efficiency in work."
Furmingo,https://e27.co/startup/furming,furmingo.com,Malaysia,"Design ,Agency & Consulting,Information & Communications Technology",December 2016,,1,https://www.facebook.com/Furmingo2U/?fref=ts,,,FURMINGO is a home design platform for everyone,FURMINGO– DESIGN BEYOND IMAGINATION
Ideatory,https://e27.co/startup/ideatory,ideatory.co,Singapore,"Agency & Consulting,Big Data,Software as a Service,Information & Communications Technology",,,0,"http://www.twitter.com/Ideatory,http://www.facebook.com/ideatory,http://www.linkedin.com/groups/Ideatory-Wizard-Network-4229666/about",,,"Ideatory is an open-innovation platform for electronics engineers, hackers, programmers and students to participate in exciting projects to develop electronic products for companies.",Ideatory Pte. Ltd. is a SPRING Singapore (ACE Grant) funded company. They conduct open-innovation competitions to discover young technology talent.
Anchanto,https://e27.co/startup/anchant,anchanto.com,Singapore,"Hardware,E-commerce,Logistics/Supply Chain",,,1,"http://www.twitter.com/anchantodotcom,https://www.facebook.com/anchanto/timeline,https://www.linkedin.com/company/anchanto",,,"Anchanto is a full-service eCommerce fulfillment company, simplifies eCommerce marketing, order management and delivery for world-renowned brands.","Their mission is to let E-commerce companies, sellers and brands focus on what they do best while they take care of providing world class fulfillment technology and infrastructure to them at scale, on demand."
SAPCLE TECHNOLOGIES,https://e27.co/startup/sapcle-technologie,sapcle.com,United Arab Emirates,,,,1,,,,,
Lapersa,https://e27.co/startup/lapersa,Lapersa.net,Singapore,"Agritech,Biotech,Blockchain",January 2008,,1,,,,Agtech with focus on large-scale renewable energy,
99dollar designers,https://e27.co/startup/99dollar-designer,99dollardesigners.com,Indonesia,"Design ,Information & Communications Technology",,,0,https://www.facebook.com/99dollardesigners,,,"They get your instructions about your design and communicate with you and then after deciding what design and angle to take they write the content , execute it .","They get your instructions about your design and communicate with you and then after deciding what design and angle to take they write the content , execute it and at the end They deliver all the work including all files and extensions that you may require without any extra expense."
